id,dimension,hallazgo,magnitud,unidad,porcentaje,severidad,estado,accion
ANO-01,Anotación espacial,Estudios sin bounding box,1784,estudios,88.36,alta,detectado,La ausencia de caja NO significa ausencia de fractura. La localización es una etiqueta débil y parcial: no puede usarse como negativo para un detector.
ANO-06,Anotación espacial,Estudios sin segmentación vertebral,1932,estudios,95.69,alta,detectado,"Solo una fracción mínima permite recortar C1–C7 con verdad de referencia. Para el resto habría que propagar con un modelo de segmentación, lo que introduce error no cuantificado en este EDA."
MET-02,Metadatos DICOM,Estudios con eje z descendente (orden craneocaudal invertido),1822,estudios,90.24,alta,detectado,"Normalizar la orientación ordenando por ImagePositionPatient[2] antes de cualquier reconstrucción sagital, recorte o superposición de máscara."
MET-NA-kernel,Metadatos DICOM,Metadato ausente o desconocido: kernel,2019,estudios,100.0,alta,detectado,Columna constante: no aporta información y debe excluirse del análisis.
MET-NA-kvp,Metadatos DICOM,Metadato ausente o desconocido: kvp,2019,estudios,100.0,alta,detectado,Columna constante: no aporta información y debe excluirse del análisis.
MET-NA-manufacturer,Metadatos DICOM,Metadato ausente o desconocido: manufacturer,2019,estudios,100.0,alta,detectado,Columna constante: no aporta información y debe excluirse del análisis.
MET-NA-model,Metadatos DICOM,Metadato ausente o desconocido: model,2019,estudios,100.0,alta,detectado,Columna constante: no aporta información y debe excluirse del análisis.
MET-NA-patient_age,Metadatos DICOM,Metadato ausente o desconocido: patient_age,2019,estudios,100.0,alta,detectado,Columna constante: no aporta información y debe excluirse del análisis.
MET-NA-patient_sex,Metadatos DICOM,Metadato ausente o desconocido: patient_sex,2019,estudios,100.0,alta,detectado,Columna constante: no aporta información y debe excluirse del análisis.
MET-NA-study_desc,Metadatos DICOM,Metadato ausente o desconocido: study_desc,2019,estudios,100.0,alta,detectado,Columna constante: no aporta información y debe excluirse del análisis.
ANO-07,Anotación espacial,Estudios con caja y segmentación simultáneas,40,estudios,1.98,media,informativo,Es el único subconjunto donde se puede validar que la máscara NIfTI quedó alineada con el DICOM (mirar si la caja cae dentro de la vértebra esperada).
ETI-07,Etiquetas,Nivel menos representado (C3) frente al más frecuente (C7),73 vs 393,estudios,18.58,media,informativo,"Razón entre el nivel más raro y el más frecuente. Un desbalance fuerte exige estratificar también por nivel, no solo por patient_overall."
MET-04,Metadatos DICOM,Valores distintos de slice_thickness,10,valores únicos,,media,detectado,El criterio de inclusión oficial fue corte fino sin contraste. La dispersión observada es variabilidad de reconstrucción entre sitios: remuestrear a espaciado isotrópico 1x1x1 mm antes de comparar volúmenes.
MET-05x,Metadatos DICOM,Valores distintos de pixel_spacing_x,324,valores únicos,,media,detectado,Distintos campos de visión: remuestrear a espaciado isotrópico.
MET-06,Metadatos DICOM,Combinaciones distintas de rows x cols,3,combinaciones,0.15,media,detectado,"El porcentaje indica estudios cuyo corte no es 512x512. Si el análisis de área de lesión asume 512x512, hay que recalcularlo por estudio."
MET-07,Metadatos DICOM,Cobertura z atípica por IQR (rango 48–334 mm),29,estudios,1.44,media,detectado,No eliminar: son protocolos legítimos (desde estudio cervical focalizado hasta politrauma de cuerpo completo). Recortar a C1–C7 con las segmentaciones homogeneiza el campo de visión sin descartar estudios.
ANO-03,Anotación espacial,Estudios con caja pero patient_overall = 0,0,estudios,0.0,baja,sin_hallazgos,Contradicción directa entre la etiqueta y la localización; escalar a revisión si aparece.
ANO-04,Anotación espacial,Cajas que exceden el marco del corte,0,cajas,0.0,baja,sin_hallazgos,Recortar la caja al marco antes de usarla como región de interés.
ETI-01,Etiquetas,Estudios duplicados en train.csv,0,estudios,0.0,baja,sin_hallazgos,"Cada StudyInstanceUID debe aparecer una sola vez; si no, colapsar filas antes de particionar."
ETI-02,Etiquetas,Valores nulos en las 8 etiquetas,0,celdas,0.0,baja,sin_hallazgos,Las etiquetas son binarias obligatorias; un nulo invalida la fila para entrenamiento supervisado.
